Date;VALUE;CAPITALIZATION;IMOEX, monthly average
2017-05-01;624125928680.0;9442249823111.66;1976.11825
2017-06-01;689595190228.0;8770250085106.364;1862.7604761904763
2017-07-01;597858120438.0;8963858443123.822;1931.3314285714287
2017-08-01;630143855720.0;9105350583911.447;1961.9163043478266
2017-09-01;670255148011.0;9464629055575.08;2046.0099999999995
2017-10-01;610190618582.0;9558502845010.115;2080.6322727272727
2017-11-01;916148128903.3999;9831424261793.123;2138.6628571428573
2017-12-01;553568472207.0;9623740012604.285;2115.5035714285714
2018-01-01;779047864973.2;9984018996006.0;2257.877
2018-02-01;870335545954.3;10024953513512.105;2273.8365789473683
2018-03-01;810190991918.2001;9968712425670.0;2286.3064285714286
2018-04-01;1256468004283.2002;9641586489294.092;2235.566818181818
2018-05-01;764273682544.9999;9973605254398.572;2314.5157142857142
2018-06-01;720838878597.5502;9778536583907.143;2268.947380952381
2018-07-01;734637176730.7999;9972584343251.818;2307.3715909090915
2018-08-01;853105290851.2999;9899691373369.13;2292.5936956521737
2018-09-01;843950442327.3999;10177858188123.0;2378.71475
2018-10-01;978180660947.3002;10175811252557.39;2388.8600000000006
2018-11-01;872458011570.2999;10138163459872.38;2376.115
